dex,species,version,source_location,source_area,source_method,source_stage,source_min,source_max,source_weight,source_conditions,map,terrain,slot,weight,target_stage,min_level,max_level,firered_min_level,firered_max_level,leafgreen_min_level,leafgreen_max_level,original_firered,original_leafgreen
161,SENTRET,crystal,johto-route-29,,walk,0,2,2,30,time-day,FR_ROUTE_1,land,1,20,0,3,3,3,3,3,3,PIDGEY,PIDGEY
162,FURRET,crystal,johto-route-43,,walk,4,15,15,10,time-day,FR_ROUTE_14,land,3,10,4,22,22,22,22,22,22,ODDISH,BELLSPROUT
163,HOOTHOOT,crystal,johto-route-29,,walk,0,2,2,30,time-night,FR_ROUTE_2,land,1,20,0,3,3,3,3,3,3,RATTATA,RATTATA
164,NOCTOWL,crystal,ilex-forest,,headbutt-low,2,10,10,10,,FR_THREE_ISLAND_BERRY_FOREST,land,4,10,7,30,30,30,30,30,30,ODDISH,BELLSPROUT
165,LEDYBA,crystal,johto-route-30,,walk,0,3,3,30,time-morning,FR_VIRIDIAN_FOREST,land,1,20,0,4,4,4,4,4,4,CATERPIE,CATERPIE
166,LEDIAN,crystal,kanto-route-2,south-towards-viridian-city,walk,9,7,7,5,time-morning,FR_ROUTE_24,land,9,4,2,8,8,8,8,8,8,KAKUNA,METAPOD
167,SPINARAK,crystal,johto-route-30,,walk,0,3,3,30,time-night,FR_VIRIDIAN_FOREST,land,2,20,0,4,4,4,4,4,4,WEEDLE,WEEDLE
168,ARIADOS,crystal,johto-route-37,,walk,3,15,15,4,time-night,FR_ROUTE_11,land,10,4,3,15,15,15,15,15,15,DROWZEE,DROWZEE
170,CHINCHOU,crystal,new-bark-town,,good-rod,4,20,20,20,,SEVII_ONE_ISLAND,good,4,20,7,5,15,5,15,5,15,MAGIKARP,MAGIKARP
171,LANTURN,crystal,new-bark-town,,super-rod,9,40,40,10,,FR_FIVE_ISLAND,super,9,4,9,25,35,25,35,25,35,SEADRA,KINGLER
177,NATU,crystal,ruins-of-alph,outside,walk,4,18,18,20,time-day,FR_ROUTE_11,land,2,20,3,15,15,15,15,15,15,SPEAROW,SPEAROW
183,MARILL,crystal,mt-mortar,1f,walk,4,14,14,20,time-night,FR_ROUTE_12,land,1,20,4,24,24,24,24,24,24,ODDISH,BELLSPROUT
187,HOPPIP,crystal,johto-route-29,,walk,0,3,3,4,time-day,FR_ROUTE_22,land,7,5,0,3,3,3,3,3,3,SPEAROW,SPEAROW
188,SKIPLOOM,crystal,kanto-route-14,,walk,9,30,30,5,time-day,FR_THREE_ISLAND_PORT,land,8,5,7,30,30,30,30,30,30,DUNSPARCE,DUNSPARCE
190,AIPOM,crystal,johto-route-33,,headbutt-low,2,10,10,10,,FR_ROUTE_2,land,3,10,0,4,4,4,4,4,4,RATTATA,RATTATA
191,SUNKERN,crystal,national-park,,walk,2,14,14,20,time-day,FR_THREE_ISLAND_BERRY_FOREST,land,2,20,7,35,35,35,35,35,35,GLOOM,WEEPINBELL
193,YANMA,crystal,johto-route-35,,walk,2,12,12,1,"swarm-no,time-day",FR_ROUTE_25,land,12,1,2,13,13,13,13,13,13,ABRA,ABRA
194,WOOPER,crystal,ruins-of-alph,outside,walk,0,20,20,5,time-morning,FR_ROUTE_6,land,7,5,2,16,16,16,16,16,16,ODDISH,BELLSPROUT
195,QUAGSIRE,crystal,ruins-of-alph,outside,surf,4,14,19,10,,FR_ROUTE_12,water,3,5,5,20,30,20,30,20,30,TENTACOOL,TENTACOOL
198,MURKROW,crystal,kanto-route-7,,walk,9,17,17,30,time-night,FR_ROUTE_7,land,2,20,4,17,17,17,17,17,17,MEOWTH,MEOWTH
